1|Villa Fantasia|house|10|5|3|False|1|3
2|Seashell Cottage|apartment|4|2|1|False|2|3
5|Oceanfront Oasis|apartment|6|3|2|False|5|3
6|Mountain Lodge|hut|4|2|1|False|6|3
7|Lakeview Cottage|house|6|4|2|False|7|3
9|Forest Retreat|hut|2|1|1|False|9|3
12|Desert Oasis|hut|2|1|1|False|12|3
14|Tropical Villa|apartment|10|7|4|False|14|3
15|Mountain Chalet|hut|4|3|2|False|15|3
16|Secluded Retreat|house|8|6|3|False|16|3
18|Countryside Cottage|hut|2|1|1|False|18|3
19|Beachfront Bungalow|house|4|3|2|False|19|3
23|Lakefront Lodge|apartment|8|5|3|False|23|3
25|Vineyard Villa|house|6|5|3|False|25|3
27|Secluded Cabin|hut|2|1|1|False|27|3
29|Ocean View|apartment|6|4|2|False|29|3
31|Beachside Retreat|house|4|3|2|False|31|3
33|Forest Cabin|hut|2|1|1|False|33|3
35|Hotel Park|apartment|5|5|5|False|35|3
